year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,THA,Thailand,TH,Satun,TH91,131045,134819,265864,10816,10502,9154,7663,7052,8618,8441,9276,9381,9225,8618,8363,7195,5800,4542,2897,3502,11197,10849,10128,9142,8905,9766,8887,9228,9771,9188,8428,8030,6605,5363,4120,2453,2759,22013,21351,19282,16805,15957,18384,17328,18504,19152,18413,17046,16393,13800,11163,8662,5350,6261
2022,THA,Thailand,TH,Si Sa Ket,TH33,340130,319489,659619,22657,23480,24787,19322,10267,12798,15399,20913,24498,25223,26642,27331,27394,23152,15239,9897,11131,24114,24857,25707,19548,12052,13476,14833,19409,23849,24699,24670,24784,23193,19098,11513,6999,6688,46771,48337,50494,38870,22319,26274,30232,40322,48347,49922,51312,52115,50587,42250,26752,16896,17819
2022,THA,Thailand,TH,Sing Buri,TH17,76494,68514,145008,3423,3471,3446,3166,2931,3447,3528,3848,4987,6290,6823,7398,6861,5530,4552,3054,3739,3587,3645,3925,3805,3193,3744,3694,3790,4502,5551,5584,6042,5286,4434,3511,2131,2090,7010,7116,7371,6971,6124,7191,7222,7638,9489,11841,12407,13440,12147,9964,8063,5185,5829
2022,THA,Thailand,TH,Songkhla,TH90,807477,763716,1571193,48725,48921,46085,51884,60355,53959,52370,55037,56850,58574,56764,54089,49038,38441,29312,20219,26854,51787,51712,48968,52025,60819,57593,52516,52249,54124,54442,51108,48014,40896,31820,23690,14942,17011,100512,100633,95053,103909,121174,111552,104886,107286,110974,113016,107872,102103,89934,70261,53002,35161,43865
2022,THA,Thailand,TH,Sukhothai,TH64,303998,276767,580765,15149,15590,16336,12910,9018,10871,13427,17319,22183,26798,28298,29616,26368,20590,16076,10984,12465,16264,16915,17555,14910,10486,11560,12971,16305,20559,24249,24837,25173,21386,16595,12596,7666,6740,31413,32505,33891,27820,19504,22431,26398,33624,42742,51047,53135,54789,47754,37185,28672,18650,19205
2022,THA,Thailand,TH,Suphan Buri,TH72,376506,341715,718221,18280,18747,19302,17558,15512,17550,18336,20592,26044,30900,32257,33735,31010,25994,20873,13136,16680,19395,20192,20256,19043,17599,18995,18653,19619,24131,27710,27547,28287,24415,20713,15897,9460,9803,37675,38939,39558,36601,33111,36545,36989,40211,50175,58610,59804,62022,55425,46707,36770,22596,26483
2022,THA,Thailand,TH,Surat Thani,TH84,531229,514226,1045455,30675,29856,28725,30466,34023,38128,37291,39867,41912,40145,36744,33697,30937,25053,19469,14552,19689,31935,30858,30833,32083,35720,40946,38434,39538,43965,40466,35820,30265,25220,20402,15352,10377,12012,62610,60714,59558,62549,69743,79074,75725,79405,85877,80611,72564,63962,56157,45455,34821,24929,31701
2022,THA,Thailand,TH,Surin,TH32,416048,386271,802319,28380,29768,30673,23179,12860,14579,17737,22858,27286,30324,32019,33899,34865,28336,19937,13426,15922,28952,31210,32180,24196,14658,15442,16862,21620,25965,27882,29545,29830,28981,22903,15365,10338,10342,57332,60978,62853,47375,27518,30021,34599,44478,53251,58206,61564,63729,63846,51239,35302,23764,26264
2022,THA,Thailand,TH,Tak,TH63,251552,248276,499828,20251,21194,18020,15935,14577,15753,14558,15439,17248,17720,17847,16988,15318,11818,7732,5265,5889,21830,21925,19023,16546,14859,15557,14490,15100,17286,17823,17511,16387,14085,10479,6734,4560,4081,42081,43119,37043,32481,29436,31310,29048,30539,34534,35543,35358,33375,29403,22297,14466,9825,9970
2022,THA,Thailand,TH,Trang,TH92,267261,254345,521606,16638,15994,16241,15494,14189,15918,16585,18116,19968,20643,19781,19542,16360,13422,10353,7646,10371,17581,17392,17008,16713,15092,16894,16243,17248,19366,20142,18412,17234,13743,10734,8535,5747,6261,34219,33386,33249,32207,29281,32812,32828,35364,39334,40785,38193,36776,30103,24156,18888,13393,16632
2022,THA,Thailand,TH,Trat,TH23,129741,136144,265885,7770,7439,7302,7293,7956,9373,8569,8972,9989,9848,9942,9187,8110,6594,4623,2959,3815,8968,7986,7800,7846,8882,10815,10292,10407,10839,10385,9891,8744,7459,6177,4407,2552,2694,16738,15425,15102,15139,16838,20188,18861,19379,20828,20233,19833,17931,15569,12771,9030,5511,6509
2022,THA,Thailand,TH,Ubon Ratchathani,TH34,796006,768311,1564317,51208,53828,55316,48723,37261,36387,42384,52477,60450,57250,60030,60404,56629,45863,31278,21271,25247,53741,57327,58296,49905,40973,37677,41007,50229,60246,55837,57104,56846,50183,39245,25022,16624,18049,104949,111155,113612,98628,78234,74064,83391,102706,120696,113087,117134,117250,106812,85108,56300,37895,43296
2022,THA,Thailand,TH,Udon Thani,TH41,490139,467073,957212,29843,32445,32429,28989,21248,23471,27477,32855,38507,37988,39608,39314,36769,28952,17711,10805,11728,31088,33957,33909,30268,23696,23885,26037,31274,37298,36737,36424,35989,32261,24368,14288,8223,7371,60931,66402,66338,59257,44944,47356,53514,64129,75805,74725,76032,75303,69030,53320,31999,19028,19099
2022,THA,Thailand,TH,Uthai Thani,TH61,129885,120225,250110,7615,7683,7454,5803,4057,4954,5710,7115,8998,10302,10928,12126,10513,9597,6899,4373,5758,7790,8257,8029,6466,4576,5162,5344,6736,8487,9405,9728,10480,9350,7947,5687,3414,3367,15405,15940,15483,12269,8633,10116,11054,13851,17485,19707,20656,22606,19863,17544,12586,7787,9125
2022,THA,Thailand,TH,Uttaradit,TH53,183005,170237,353242,8688,9368,9707,8492,6652,6270,7482,10209,12768,15498,16985,17995,15294,12927,9689,7035,7946,8897,10038,10160,9179,7611,6828,7421,9465,11880,13995,15336,16390,13535,11084,8133,5325,4960,17585,19406,19867,17671,14263,13098,14903,19674,24648,29493,32321,34385,28829,24011,17822,12360,12906
2022,THA,Thailand,TH,Yala,TH95,200610,198698,399308,17679,17423,15941,14446,14272,13186,11765,12086,13423,13340,11310,12152,10602,8216,6703,3784,4282,17886,18210,16777,15566,14482,13527,11859,11573,13379,13362,11120,11630,9554,7443,5534,3307,3489,35565,35633,32718,30012,28754,26713,23624,23659,26802,26702,22430,23782,20156,15659,12237,7091,7771
2022,THA,Thailand,TH,Yasothon,TH35,184252,177103,361355,10578,11514,12096,9385,5115,6405,8282,11711,14156,13834,15735,15703,16012,13201,8672,5680,6173,11093,12441,13179,10190,7043,7123,8003,11240,14054,13750,14674,14721,13979,11231,6691,4066,3625,21671,23955,25275,19575,12158,13528,16285,22951,28210,27584,30409,30424,29991,24432,15363,9746,9798
